"No.","Time","Source","Destination","Length","Protocol","Info","New Column"
"48","0.780486","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","152","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","48"
"50","0.780784","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","152","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","50"
"52","0.781456","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","152","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","52"
"54","0.781896","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","152","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","54"
"56","0.782203","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","152","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","56"
"58","0.782485","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","152","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","58"
"60","0.783117","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","152","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","60"
"62","0.783563","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","152","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","62"
"64","0.784105","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","152","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","64"
"66","0.784906","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","66"
"68","0.785737","D-LinkIn_80:0f:6b","HonHaiPr_98:4f:0b","160","802.11","QoS Data, SN=1631, FN=0, Flags=.p..R.F.C","68"
"151","1.948008","D-LinkIn_80:0f:6b","IntelCor_e3:85:4b","198","802.11","QoS Data, SN=1911, FN=0, Flags=.p..R.F.C","151"
"155","1.948577","IntelCor_e3:85:4b","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=1623, FN=0, Flags=.p..R..TC","155"
"157","1.950153","IntelCor_e3:85:4b","D-LinkIn_80:0f:6b","160","802.11","QoS Data, SN=1623, FN=0, Flags=.p..R..TC","157"
